proxy_cp	hangul	hangul_cp
U+8210	언	U+C5B8
U+8217	얻	U+C5BB
U+8218	얼	U+C5BC
U+821B	얽	U+C5BD
U+821C	엄	U+C5C4
U+8236	업	U+C5C5
U+826E	없	U+C5C6
U+8271	엇	U+C5C7
U+8276	었	U+C5C8
U+828B	엉	U+C5C9
U+8292	에	U+C5D0
U+8299	엑	U+C5D1
U+82A5	엔	U+C5D4
U+82A6	엘	U+C5D8
U+82B9	엠	U+C5E0
U+82BD	엣	U+C5E3
U+82C5	엥	U+C5E5
U+82D1	여	U+C5EC
U+82D3	역	U+C5ED
U+82D4	연	U+C5F0
U+82E7	열	U+C5F4
U+82EB	염	U+C5FC
U+8302	엽	U+C5FD
U+8304	엾	U+C5FE
U+831C	엿	U+C5FF
U+8338	였	U+C600
U+834A	영	U+C601
U+834F	옆	U+C606
U+839E	옇	U+C607
U+83AB	예	U+C608
U+83B1	옛	U+C61B
U+83C5	오	U+C624
U+83CA	옥	U+C625
U+83CC	온	U+C628
U+83D6	올	U+C62C
U+83DF	옮	U+C62E
U+83E9	옳	U+C633
U+83F0	옴	U+C634
U+83F1	옵	U+C635
U+8404	옷	U+C637
U+840C	옹	U+C639
U+840E	와	U+C640
U+8429	완	U+C644
U+8431	왔	U+C654
U+844E	왕	U+C655
U+845B	왜	U+C65C
U+8461	왠	U+C660
U+8463	외	U+C678
U+8466	왼	U+C67C
U+8471	요	U+C694
U+8475	욕	U+C695
U+847A	욘	U+C698
U+848B	용	U+C6A9
U+8490	우	U+C6B0
U+8499	욱	U+C6B1
U+849C	운	U+C6B4
U+84B2	울	U+C6B8
U+84C9	움	U+C6C0
U+84CB	웁	U+C6C1
U+84D1	웃	U+C6C3
U+84EC	웅	U+C6C5
U+8500	워	U+C6CC
U+8513	원	U+C6D0
U+851A	월	U+C6D4
U+8526	웜	U+C6DC
U+852D	웠	U+C6E0
U+8543	웡	U+C6E1
U+8549	웨	U+C6E8
U+854A	웬	U+C6EC
U+854E	웰	U+C6F0
U+8557	위	U+C704
U+8568	윈	U+C708
U+8569	윌	U+C70C
U+856A	윙	U+C719
U+8587	유	U+C720
U+8594	육	U+C721
U+8597	윤	U+C724
U+8599	율	U+C728
U+85A9	융	U+C735
U+85AA	으	U+C73C
U+85AB	윽	U+C73D
U+85AE	은	U+C740
U+85AF	을	U+C744
U+85B9	음	U+C74C
U+85C1	읏	U+C74F
U+85E9	응	U+C751
U+85EA	의	U+C758
U+85F7	이	U+C774
U+85FB	익	U+C775
U+862D	인	U+C778
U+865E	일	U+C77C
U+8679	읽	U+C77D
U+867B	잃	U+C783
U+868A	임	U+C784
U+86A4	입	U+C785
U+86C7	잇	U+C787
U+86CB	있	U+C788
U+86CD	잉	U+C789
U+86CE	잊	U+C78A
U+86D9	자	U+C790
U+86E4	작	U+C791
U+86ED	잔	U+C794
U+86F8	잖	U+C796
U+8718	잘	U+C798
U+871C	잠	U+C7A0
U+8749	잡	U+C7A1
U+874B	잤	U+C7A4
U+8776	장	U+C7A5
U+877F	잦	U+C7A6
U+8782	재	U+C7AC
U+87BA	잭	U+C7AD
U+87F7	잰	U+C7B0
U+87F9	잿	U+C7BF
U+87FB	쟁	U+C7C1
U+8805	저	U+C800
U+8846	적	U+C801
U+8861	전	U+C804
U+8877	절	U+C808
U+887F	젊	U+C80A
U+8888	점	U+C810
U+8896	접	U+C811
U+88B4	정	U+C815
U+88B7	젖	U+C816
U+88DF	제	U+C81C
U+88F3	젝	U+C81D
U+88FE	젠	U+C820
U+8910	젤	U+C824
U+8956	젯	U+C82F
U+8997	져	U+C838
U+8A0A	졌	U+C84C
U+8A1B	조	U+C870
U+8A1F	족	U+C871
U+8A3A	존	U+C874
U+8A3B	졸	U+C878
U+8A51	좀	U+C880
U+8A54	좁	U+C881
U+8A60	종	U+C885
U+8A63	좋	U+C88B
U+8ABC	좌	U+C88C
U+8ACC	죄	U+C8C4
U+8ACF	죗	U+C8D7
U+8AD2	죠	U+C8E0
U+8AEB	죤	U+C8E4
U+8AEE	주	U+C8FC
U+8AFA	죽	U+C8FD
U+8B04	준	U+C900
U+8B19	줄	U+C904
U+8B21	줍	U+C90D
U+8B2C	중	U+C911
U+8B83	줘	U+C918
U+8C79	줬	U+C92C
